PUMA,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),Number of jobs for workers with Educational Attainment: Less than high school,"Number of jobs for workers with Educational Attainment: High school or equivalent, no college",Number of jobs for workers with Educational Attainment: Some college or Associate degree,Number of jobs for workers with Educational Attainment: Bachelor's degree or advanced degree,Proportion of jobs for ages 29 and younger,Proportion of jobs for ages 30 to 54,Proportion of jobs for ages 55 and older,Proportion of jobs paying 1250 a month or less,Proportion of jobs paying 1251 to 3333 a month or less,Proportion of jobs paying more than 3333 a month,Proportion of agriculture jobs,Proportion of extraction jobs,Proportion of utilities jobs,Proportion of construction jobs,Proportion of manufacturing jobs,Proportion of wholesale trade jobs,Proportion of retail trade jobs,Proportion of transportation jobs,Proportion of information jobs,Proportion of finance jobs,Proportion of real estate jobs,Proportion of professional jobs,Proportion of management jobs,Proportion of support/administrative jobs,Proportion of educational jobs,Proportion of health jobs,Proportion of entertainment jobs,Proportion of hospitality jobs,Proportion of other services jobs,Proportion of public administration jobs,Proportion of jobs with less than high school education,"Proportion of jobs with high school education, no college",Proportion of jobs with some college or associate degree,Proportion of jobs with bachelor's degree or advanced degree
0100100,65126,17136,33682,14308,16098,26779,22249,327,187,667,3326,15452,2648,8507,1388,475,2093,604,1452,329,2706,5244,8385,547,6459,1295,3035,6271,15596,15924,10199,0.263120719835396,0.5171820778183829,0.21969720234622117,0.24718238491539476,0.4111875441451955,0.3416300709394098,0.005021036145318306,0.0028713570616957897,0.01024168534840156,0.05107023308663207,0.23726315142953658,0.040659644381660164,0.13062371403126247,0.02131253262905752,0.007293554033719252,0.03213770230015662,0.009274329760771428,0.022295243067284955,0.005051745846512913,0.04155022571630378,0.08052083653226054,0.12875042225839142,0.008399103276725118,0.09917698000798453,0.019884531523508275,0.046601971562816695,0.13067305688685144,0.3249843717441134,0.33181912898520527,0.21252344238382997
0100200,55849,12289,30305,13255,11232,16446,28171,589,18,336,4311,12260,1827,5572,1965,439,568,484,4830,98,3148,6750,3403,888,4140,860,3363,4811,12422,13334,12993,0.2200397500402872,0.5426238607674264,0.23733638919228633,0.2011137173449838,0.29447259574925244,0.5044136869057637,0.010546294472595748,0.00032229762395029457,0.006016222313738832,0.07719028093609555,0.21952049275725619,0.032713208830954896,0.09976902003616896,0.03518415728124049,0.007860480939676628,0.010170280577987072,0.008666224999552365,0.0864831957599957,0.0017547315081738258,0.05636627334419596,0.12086160898136046,0.060932156350158466,0.015900016114881198,0.07412845350856774,0.015398664255402962,0.0602159394080467,0.11044536271809,0.28516988062442605,0.3061065197428834,0.29827823691460054
0100301,78929,19094,42045,17790,17004,20970,40955,164,74,81,1425,5879,2183,11442,1145,1110,1688,892,25107,365,6286,4888,4724,1140,8349,1240,747,6405,15300,18471,19659,0.24191361856858695,0.5326939401234021,0.225392441308011,0.21543412433959636,0.26568181530236035,0.5188840603580434,0.002077816772035627,0.0009375514703087585,0.0010262387715541815,0.018054200610675416,0.07448466343169177,0.027657768374108375,0.14496572869287588,0.014506708560858493,0.014063272054631377,0.0213863092146106,0.01130129610155963,0.3180960103384054,0.004624409279225633,0.07964119651838994,0.06192907549823259,0.05985125872619696,0.014443360488540334,0.10577861115686249,0.015710321934903522,0.009464202004333008,0.10704437202306342,0.25570318375532713,0.3086989220355979,0.3285535221860115
0100302,73792,18404,39227,16161,19130,26425,28237,13,0,610,3200,6461,1667,7557,469,1022,1621,1030,5888,293,8638,3284,18803,1187,6280,1788,3981,6420,15549,18625,14794,0.24940372940156114,0.5315887901127494,0.2190074804856895,0.25924219427580225,0.35810114917606245,0.3826566565481353,0.00017617085862966174,0.0,0.008266478751084128,0.04336513443191674,0.08755691673894189,0.022590524718126625,0.10240947528187337,0.006355702515177797,0.013849739809193408,0.021967150910667824,0.013958152645273201,0.0797918473547268,0.003970620121422377,0.11705875975715525,0.044503469210754557,0.25481081960104074,0.016085754553339115,0.0851040763226366,0.024230268863833476,0.05394893755420642,0.11590958330324258,0.28072867769191884,0.3362641727449989,0.26709756625983966
0100400,38349,9478,20490,8381,8663,17262,12424,339,20,471,1287,12699,1306,4607,1680,260,749,266,647,80,1130,3249,4185,103,2904,536,1831,4218,10119,9416,5118,0.2471511643067616,0.5343033716654932,0.2185454640277452,0.22589898041669926,0.45012907768129545,0.3239719419020053,0.008839865446295862,0.0005215259850322042,0.012281936947508409,0.033560197136822345,0.33114292419619806,0.03405564682260294,0.12013351065216825,0.043808182742705155,0.006779837805418655,0.01953114813945605,0.006936295600928316,0.016871365615791806,0.002086103940128817,0.02946621815431954,0.08472189626848158,0.10912931236798873,0.002685858822915852,0.07572557302667605,0.013976896398863074,0.0477457039296983,0.1460981607841779,0.3504901111842333,0.3261404177202037,0.17727131031138513
0100500,42543,11351,22345,8847,10015,19565,12963,212,18,412,1361,12039,1466,6187,1150,443,896,478,1198,479,2266,2958,4317,314,4119,818,1412,4881,10118,9997,6196,0.26681240157017605,0.525233293373763,0.20795430505606094,0.23540888042686223,0.45988764309052016,0.3047034764826176,0.004983193474837224,0.0004231013327691982,0.009684319394494982,0.031991161883271044,0.2829842747337987,0.034459252991091364,0.14542933032461275,0.02703147403803211,0.010412993912041934,0.021061044120066756,0.011235690947982041,0.02815974425874997,0.01125919657758033,0.0532637566697224,0.06952965235173825,0.10147380297581271,0.00738076769386268,0.09681968831535152,0.01922760501140023,0.03318994899278377,0.1564824313926648,0.3243780456527315,0.3204988458579123,0.19864067709669145
0100600,55347,12855,30219,12273,12340,20116,22891,224,68,430,3811,13855,2246,6442,1572,260,1423,459,1751,840,3422,3955,6304,283,4922,1059,2021,5588,13943,14067,8894,0.2322619112147,0.545991652664101,0.221746436121199,0.22295698050481508,0.36345240031076664,0.4135906191844183,0.004047193163134406,0.0012286122102372306,0.0077691654470883695,0.06885648725314832,0.25032973783583573,0.04058033859107088,0.11639293909335646,0.02840262344842539,0.004697634921495293,0.025710517281876163,0.008293132419101306,0.03163676441360869,0.015176974361754025,0.06182810269752651,0.07145825428659186,0.11389957901963972,0.005113194933781416,0.08892984262923014,0.019133828391782754,0.03651507760131534,0.13150710722018263,0.32813235432552007,0.33105055069189493,0.20930998776240234
0100700,37022,9531,19312,8179,8457,16222,12343,483,14,277,1507,9162,1119,4703,2864,240,904,268,689,230,1196,2931,4713,190,3076,679,1777,3639,9418,9358,5076,0.2574415212576306,0.5216357841283561,0.2209226946140133,0.22843174328777482,0.4381718977905029,0.3333963589217222,0.01304629679649938,0.00037815353033331534,0.007482037707309167,0.04070552644373616,0.2474744746367025,0.030225271460212845,0.12703257522554157,0.07735940791961536,0.00648263194857112,0.02441791367295122,0.00723893900923775,0.01861055588568959,0.006212522284047323,0.032305115877046084,0.0791691426719248,0.12730268489006535,0.0051320836259521364,0.08308573280751985,0.018340446221165794,0.04799848738587867,0.13237059401258594,0.3425848459495835,0.3404023134844131,0.1846422465534175
0100800,29093,7619,15446,6028,7167,12108,9818,129,23,218,2284,4849,1569,4494,761,152,711,150,956,157,1029,2801,2898,146,3227,1016,1523,2987,7145,7105,4237,0.261884302065789,0.5309180902622624,0.20719760767194859,0.24634791874334033,0.41618258687656823,0.33746949438009144,0.004434056302203279,0.0007905681779122126,0.007493211425428798,0.07850685731963016,0.16667239542157908,0.05393049874540268,0.15447014745815144,0.026157494930051903,0.005224624480115491,0.024438868456329702,0.005155879421166604,0.032860138177568485,0.0053964871274877115,0.035369332829202904,0.09627745505791771,0.09961159041693879,0.005018389303268827,0.11092015261403086,0.034922489946035126,0.05234936238957825,0.13909844463071622,0.3327279500791655,0.3308652323740337,0.19730837291608458
0100900,37243,9913,19670,7660,10386,15353,11504,14,36,273,1000,5575,1004,4965,792,358,981,329,758,97,3610,2904,7648,271,3836,860,1932,3600,8510,9449,5771,0.266170824047472,0.528152941492361,0.205676234460167,0.2788711972719706,0.41223854147088046,0.30889026125714897,0.00037590956689847755,0.0009666246005960851,0.007330236554520313,0.026850683349891255,0.14969255967564374,0.02695808608329082,0.1333136428322101,0.021265741213113875,0.009612544639261068,0.02634052036624332,0.008833874822114222,0.02035281797921757,0.0026045162849394517,0.09693096689310743,0.0779743844480842,0.20535402625996832,0.00727653518782053,0.10299922133018286,0.02309158768090648,0.0518755202319899,0.13172338090010977,0.31137943651664834,0.3457372850347603,0.21115989754848152
