MIGPUMA,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),Number of jobs for workers with Educational Attainment: Less than high school,"Number of jobs for workers with Educational Attainment: High school or equivalent, no college",Number of jobs for workers with Educational Attainment: Some college or Associate degree,Number of jobs for workers with Educational Attainment: Bachelor's degree or advanced degree,Proportion of jobs for ages 29 and younger,Proportion of jobs for ages 30 to 54,Proportion of jobs for ages 55 and older,Proportion of jobs paying 1250 a month or less,Proportion of jobs paying 1251 to 3333 a month or less,Proportion of jobs paying more than 3333 a month,Proportion of agriculture jobs,Proportion of extraction jobs,Proportion of utilities jobs,Proportion of construction jobs,Proportion of manufacturing jobs,Proportion of wholesale trade jobs,Proportion of retail trade jobs,Proportion of transportation jobs,Proportion of information jobs,Proportion of finance jobs,Proportion of real estate jobs,Proportion of professional jobs,Proportion of management jobs,Proportion of support/administrative jobs,Proportion of educational jobs,Proportion of health jobs,Proportion of entertainment jobs,Proportion of hospitality jobs,Proportion of other services jobs,Proportion of public administration jobs,Proportion of jobs with less than high school education,"Proportion of jobs with high school education, no college",Proportion of jobs with some college or associate degree,Proportion of jobs with bachelor's degree or advanced degree
0100190,98779,25260,51315,22204,24429,40764,33586,804,496,1136,4186,21987,3405,13554,2269,668,3170,867,2065,592,3732,8442,14392,673,9445,2087,4809,9425,24176,24604,15314,0.2557223701394021,0.5194930096477997,0.22478462021279827,0.2473096508367163,0.41267880824871683,0.34001154091456687,0.008139381852418024,0.005021310197511617,0.011500420129784672,0.042377428400773444,0.22258779700138692,0.03447088956154648,0.13721540003442026,0.02297046943176181,0.00676257099181,0.03209184138328997,0.008777169236376153,0.020905253140849775,0.005993176687352575,0.03778130979256725,0.08546350945038925,0.1456989846019903,0.006813189038155884,0.09561748954737342,0.021127972544771664,0.048684436975470494,0.12819815285844477,0.32884016376718944,0.3346617881091963,0.20829989526516954
0100290,251113,61138,133922,56053,57381,83406,110326,978,110,1439,10297,36639,7143,30758,4729,3014,4773,2884,37023,1235,20338,17880,31247,3529,22888,4706,9503,22517,53389,60427,53642,0.243468080107362,0.5333136874634129,0.2232182324292251,0.22850668822402664,0.33214528917260355,0.4393480226033698,0.00389466096936439,0.00043804980228024835,0.0057304878680116125,0.04100544376436106,0.14590642459769107,0.0284453612517074,0.12248668925941708,0.018832159227120858,0.012002564582478805,0.01900737914803296,0.011484869361602148,0.14743561663474214,0.004918104598328242,0.0809914261706881,0.07120300422518945,0.12443401974409928,0.01405343411133633,0.09114621704173022,0.018740566995734988,0.037843520646083637,0.11852612185813922,0.28103171469930255,0.31807869456507437,0.28236346887748387
0100400,38349,9478,20490,8381,8663,17262,12424,339,20,471,1287,12699,1306,4607,1680,260,749,266,647,80,1130,3249,4185,103,2904,536,1831,4218,10119,9416,5118,0.2471511643067616,0.5343033716654932,0.2185454640277452,0.22589898041669926,0.45012907768129545,0.3239719419020053,0.008839865446295862,0.0005215259850322042,0.012281936947508409,0.033560197136822345,0.33114292419619806,0.03405564682260294,0.12013351065216825,0.043808182742705155,0.006779837805418655,0.01953114813945605,0.006936295600928316,0.016871365615791806,0.002086103940128817,0.02946621815431954,0.08472189626848158,0.10912931236798873,0.002685858822915852,0.07572557302667605,0.013976896398863074,0.0477457039296983,0.1460981607841779,0.3504901111842333,0.3261404177202037,0.17727131031138513
0100600,55347,12855,30219,12273,12340,20116,22891,224,68,430,3811,13855,2246,6442,1572,260,1423,459,1751,840,3422,3955,6304,283,4922,1059,2021,5588,13943,14067,8894,0.2322619112147,0.545991652664101,0.221746436121199,0.22295698050481508,0.36345240031076664,0.4135906191844183,0.004047193163134406,0.0012286122102372306,0.0077691654470883695,0.06885648725314832,0.25032973783583573,0.04058033859107088,0.11639293909335646,0.02840262344842539,0.004697634921495293,0.025710517281876163,0.008293132419101306,0.03163676441360869,0.015176974361754025,0.06182810269752651,0.07145825428659186,0.11389957901963972,0.005113194933781416,0.08892984262923014,0.019133828391782754,0.03651507760131534,0.13150710722018263,0.32813235432552007,0.33105055069189493,0.20930998776240234
0100700,37022,9531,19312,8179,8457,16222,12343,483,14,277,1507,9162,1119,4703,2864,240,904,268,689,230,1196,2931,4713,190,3076,679,1777,3639,9418,9358,5076,0.2574415212576306,0.5216357841283561,0.2209226946140133,0.22843174328777482,0.4381718977905029,0.3333963589217222,0.01304629679649938,0.00037815353033331534,0.007482037707309167,0.04070552644373616,0.2474744746367025,0.030225271460212845,0.12703257522554157,0.07735940791961536,0.00648263194857112,0.02441791367295122,0.00723893900923775,0.01861055588568959,0.006212522284047323,0.032305115877046084,0.0791691426719248,0.12730268489006535,0.0051320836259521364,0.08308573280751985,0.018340446221165794,0.04799848738587867,0.13237059401258594,0.3425848459495835,0.3404023134844131,0.1846422465534175
0100800,29093,7619,15446,6028,7167,12108,9818,129,23,218,2284,4849,1569,4494,761,152,711,150,956,157,1029,2801,2898,146,3227,1016,1523,2987,7145,7105,4237,0.261884302065789,0.5309180902622624,0.20719760767194859,0.24634791874334033,0.41618258687656823,0.33746949438009144,0.004434056302203279,0.0007905681779122126,0.007493211425428798,0.07850685731963016,0.16667239542157908,0.05393049874540268,0.15447014745815144,0.026157494930051903,0.005224624480115491,0.024438868456329702,0.005155879421166604,0.032860138177568485,0.0053964871274877115,0.035369332829202904,0.09627745505791771,0.09961159041693879,0.005018389303268827,0.11092015261403086,0.034922489946035126,0.05234936238957825,0.13909844463071622,0.3327279500791655,0.3308652323740337,0.19730837291608458
0100900,37243,9913,19670,7660,10386,15353,11504,14,36,273,1000,5575,1004,4965,792,358,981,329,758,97,3610,2904,7648,271,3836,860,1932,3600,8510,9449,5771,0.266170824047472,0.528152941492361,0.205676234460167,0.2788711972719706,0.41223854147088046,0.30889026125714897,0.00037590956689847755,0.0009666246005960851,0.007330236554520313,0.026850683349891255,0.14969255967564374,0.02695808608329082,0.1333136428322101,0.021265741213113875,0.009612544639261068,0.02634052036624332,0.008833874822114222,0.02035281797921757,0.0026045162849394517,0.09693096689310743,0.0779743844480842,0.20535402625996832,0.00727653518782053,0.10299922133018286,0.02309158768090648,0.0518755202319899,0.13172338090010977,0.31137943651664834,0.3457372850347603,0.21115989754848152
0101000,47304,10698,25979,10627,10224,17596,19484,574,432,474,1621,14827,902,4820,2039,225,880,365,663,101,2889,5060,5133,258,2961,746,2334,4901,12688,12023,6994,0.22615423642820903,0.5491924572974801,0.22465330627431085,0.2161339421613394,0.3719769998308811,0.4118890580077795,0.012134280399120581,0.0091324200913242,0.010020294266869609,0.03426771520378826,0.3134407238288517,0.01906815491290377,0.10189413157449687,0.043104177236597326,0.004756468797564688,0.018603077963808556,0.007716049382716049,0.014015728056823946,0.002135125993573482,0.06107305936073059,0.1069676982918992,0.10851090816844242,0.005454084221207509,0.0625951293759513,0.015770336546592253,0.049340436326737694,0.13388515543899907,0.3466098453805387,0.32844342457520626,0.19106157460525597
0101100,42278,11091,22042,9145,11087,16320,14871,179,6,280,1188,6814,1711,5970,922,506,891,391,1377,128,2953,4007,6439,290,5026,1004,2196,4108,10163,10253,6663,0.26233502057807845,0.5213586262358674,0.2163063531860542,0.262240408723213,0.3860163678508917,0.35174322342589526,0.004233880505227305,0.00014191778229812196,0.006622829840579024,0.028099720895028147,0.16117129476323383,0.04047022091868111,0.14120819338663135,0.021808032546478073,0.011968399640474952,0.02107479067127111,0.009248308813094281,0.03257013103741899,0.0030275793556932685,0.06984720185439236,0.09477742561142911,0.15230143336960122,0.006859359477742561,0.11887979563839349,0.023747575571219075,0.05194190832111264,0.13172155064610255,0.32587295988713244,0.3287587776958348,0.2136467117709302
0101200,92163,22327,51343,18493,19404,28844,43915,177,474,1627,5590,5534,6329,12051,1510,1115,11515,1367,7362,2175,6401,6410,7500,1202,8482,2859,2483,7634,18968,22705,20529,0.24225556893764308,0.5570890704512657,0.2006553606110912,0.21054002148367565,0.31296724281978666,0.47649273569653766,0.0019205104000520816,0.005143061749292016,0.017653505202738628,0.060653407549667436,0.06004578844004644,0.06867180972841595,0.13075746232219004,0.01638401527728047,0.012098130486203791,0.12494167941581763,0.01483241647949828,0.07988021223267472,0.023599492204029817,0.06945303429792866,0.06955068736911776,0.08137755932424075,0.013042110174364983,0.09203259442509466,0.031021125614400572,0.026941397306945305,0.10931324818145369,0.27160776676785614,0.32511884987685435,0.29396013517383585
