MIGPUMA,ENT,FOD,SRV
4921001,49.0,468.0,205.0
4935000,422.9577,2451.7548,2340.7659
4949000,258.9741,863.9136,796.9203
4953001,86.0,382.0,293.0
4957000,63.0,419.0,405.0
5000100,153.0,597.0,675.0
5000200,116.0,432.0,536.0
5000300,104.0,474.0,403.0
5000400,102.0,488.0,424.0
5101300,108.0,659.0,840.0
5104100,114.0,602.0,716.0
5110700,178.0178,793.0793,859.0859
5151000,129.0,741.0,1082.0
5151001,141.0,617.0,671.0
5151010,16.0,257.0,383.0
5151020,48.0,396.0,459.0
5151040,56.0,386.0,462.0
5151080,55.0,396.0,548.0
5151084,47.0,295.0,359.0
5151085,32.0,219.0,284.0
5151087,72.0,321.0,488.0
5151095,40.0,171.0,348.0
5151096,52.0,354.0,434.0
5151097,45.0,315.0,528.0
5151100,209.97899999999998,1309.869,1167.8832
5151105,40.0,260.0,481.0
5151110,50.0,315.0,386.0
5151115,52.0,386.0,447.0
5151120,48.0,286.0,397.0
5151125,92.0,367.0,544.0
5151135,38.0,352.0,442.0
5151145,33.0,250.0,420.0
5151175,55.0,398.0,436.0
5151186,35.0,256.0,273.0
5151187,101.0,784.0,831.0
5151200,148.0,778.0,978.0
5151206,87.0,500.0,422.0
5151215,97.0,367.0,657.0
5151235,120.0,702.0,756.0
5151255,72.0,402.0,699.0
5151256,170.9852,902.9241,1020.9201999999999
5155000,53.0,502.0,630.0
5159300,458.0411,2743.2443,2976.2687
5310100,127.0,560.0,610.0
5310200,149.0,627.0,581.0
5310300,79.0,390.0,314.0
5310400,59.0,259.0,219.0
5310500,186.0,1139.0,1224.0
5310600,38.0,232.0,223.0
5310700,123.0,707.0,693.0
5310800,53.0,373.0,292.0
5310900,76.0,471.0,430.0
5311000,33.0,274.0,240.0
5311100,142.01420000000002,826.0826,1025.1025
5311200,35.0,344.0,284.0
5311300,44.0,326.0,254.0
5311400,97.0,573.0,667.0
5311500,265.0265,1684.1684,1904.1904
5311600,1273.0,6676.0,6084.0
5311700,225.0,1699.0,1757.0
5311800,97.0,539.0,587.0
5311900,59.0,335.0,308.0
5400100,92.0,311.0,382.0
5400200,73.0,300.0,413.0
5400300,80.0,354.0,278.0
5400400,68.0,435.0,455.0
5400500,47.0,251.0,280.0
5400600,14.0,154.0,229.0
5400700,49.0,222.0,274.0
5400800,82.0,355.0,360.0
5400900,30.0,129.0,163.0
5401000,81.0,443.0,599.0
5401100,37.0,191.0,238.0
5401200,79.0,333.0,414.0
5401300,20.0,115.0,162.0
5500100,115.0,711.0,487.0
5500104,335.0,1393.0,1515.0
5500200,130.0,611.0,619.0
5500600,89.0,588.0,392.0
5500700,81.0,546.0,491.0
5500800,56.0,346.0,379.0
5500900,78.0,354.0,332.0
5501000,95.0,445.0,347.0
5501001,82.0,360.0,424.0
5501300,98.0,513.0,324.0
5501301,41.0,234.0,240.0
5501400,71.0,426.0,423.0
5501401,62.0,317.0,354.0
5501500,90.0,492.0,480.0
5501501,89.0,395.0,395.0
5501600,65.0,314.0,358.0
5501601,80.0,543.0,499.0
5502400,62.0,375.0,385.0
5502500,56.0,277.0,329.0
5510000,51.0,373.0,328.0
5520000,130.0,497.0,596.0
5530000,70.0,413.0,426.0
5540100,310.0,2112.0,2048.0
5550000,61.0,306.0,292.0
5555100,129.0,794.0,819.0
5555102,75.0,306.0,333.0
5570100,246.0,862.0,1094.0
5600100,207.0,493.0,444.0
5600200,53.0,319.0,346.0
5600300,56.0,331.0,397.0
5600400,72.0,316.0,351.0
5600500,62.0,349.0,298.0
