PUMA,GISMATCH,GISJOIN,GEOID,STATEFIP,State,Name,JAN_AVG_TEMP_C,JULY_AVG_TEMP_C,AVG_TOT_PPT_MM,AVG_TOT_POP_M,AVG_TOT_PPT_M
0600105,600105,G06000105,0600105,06,California,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA",10.580899919782366,17.592435564313615,528.7271554129464,0.5287271554129465,0.5287271554129465
0600102,600102,G06000102,0600102,06,California,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA,10.794943915473091,17.426832411024307,572.5731336805555,0.5725731336805555,0.5725731336805555
0608502,608502,G06008502,0608502,06,California,Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities PUMA,10.203128269740514,20.14977809361049,395.3431919642857,0.39534319196428575,0.39534319196428575
0600108,600108,G06000108,0600108,06,California,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA",10.050425653872283,19.614747420601223,420.71182914402175,0.4207118291440218,0.4207118291440218
0600107,600107,G06000107,0600107,06,California,Alameda County (Central)--Hayward City PUMA,9.821756114130435,19.351513406504754,497.5146059782609,0.49751460597826086,0.49751460597826086
0600101,600101,G06000101,0600101,06,California,Alameda County (North)--Berkeley & Albany Cities PUMA,10.374149322509766,18.04269790649414,614.5359497070312,0.6145359497070313,0.6145359497070313
0600110,600110,G06000110,0600110,06,California,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA",8.987706383993459,22.21295875726744,462.1396257267442,0.4621396257267442,0.4621396257267442
0608504,608504,G06008504,0608504,06,California,Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities PUMA,9.958450317382812,20.864230346679687,425.40234375,0.42540234375,0.42540234375
0600109,600109,G06000109,0600109,06,California,Alameda County (South Central)--Fremont City (East) PUMA,9.95933723449707,20.345687866210938,438.19482421875,0.43819482421875,0.43819482421875
0600106,600106,G06000106,0600106,06,California,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA",9.409654235839843,19.33953399658203,605.605078125,0.605605078125,0.605605078125
0600104,600104,G06000104,0600104,06,California,Alameda County (North Central)--Oakland City (South Central) PUMA,10.326399993896484,18.020140075683592,571.547412109375,0.5715474121093751,0.5715474121093751
0600103,600103,G06000103,0600103,06,California,Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA,9.856316884358725,18.263717651367188,624.5155843098959,0.6245155843098958,0.6245155843098958
0606103,606103,G06006103,0606103,06,California,Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA,4.044983376073473,21.16324248568702,1283.5849236641222,1.2835849236641221,1.2835849236641221
0606101,606101,G06006101,0606101,06,California,Placer County (Southwest)--Roseville City PUMA,8.495054546155428,25.203089663856908,539.9731702302631,0.5399731702302631,0.5399731702302631
0606102,606102,G06006102,0606102,06,California,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA",8.540726401589133,25.45821033824574,591.8452592329545,0.5918452592329545,0.5918452592329545
0601700,601700,G06001700,0601700,06,California,El Dorado County--El Dorado Hills PUMA,4.504652728456439,21.33586943655303,1247.2759469696969,1.2472759469696968,1.2472759469696968
0608702,608702,G06008702,0608702,06,California,Santa Cruz County (South & Coastal)--Santa Cruz City PUMA,10.31558590843564,15.719698951357888,724.0205543154761,0.7240205543154762,0.7240205543154762
0608701,608701,G06008701,0608701,06,California,Santa Cruz County (North)--Watsonville & Scotts Valley Cities PUMA,9.900791898686835,18.56678544714096,947.3810671542553,0.9473810671542553,0.9473810671542553
0604702,604702,G06004702,0604702,06,California,Merced County (Northeast)--Merced & Atwater Cities PUMA,8.316421337341994,25.78958369908708,343.13689431179773,0.3431368943117977,0.3431368943117977
0604701,604701,G06004701,0604701,06,California,Merced County (West & South)--Los Banos & Livingston Cities PUMA,8.282975146994774,25.04353699368467,304.4569904181185,0.30445699041811847,0.30445699041811847
0603300,603300,G06003300,0603300,06,California,Lake & Mendocino Counties PUMA,7.532685675216547,21.389971624850656,1266.9653524492235,1.2669653524492235,1.2669653524492235
0601500,601500,G06001500,0601500,06,California,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA",1.0255235451668474,19.612451368457727,872.0695477075589,0.8720695477075588,0.8720695477075588
0601100,601100,G06001100,0601100,06,California,"Colusa, Glenn, Tehama & Trinity Counties PUMA",5.769844079962638,23.401932565789473,1049.2266081871346,1.0492266081871346,1.0492266081871346
0608303,608303,G06008303,0608303,06,California,Santa Barbara County--South Coast Region PUMA,12.514293964092548,18.339430588942307,456.4237530048077,0.4564237530048077,0.4564237530048077
0608302,608302,G06008302,0608302,06,California,"Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA",10.6757666015625,21.2253173828125,528.973671875,0.528973671875,0.528973671875
0608301,608301,G06008301,0608301,06,California,Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA,11.85835469563802,17.681119791666667,392.79026692708334,0.39279026692708335,0.39279026692708335
0610100,610100,G06010100,0610100,06,California,Sutter & Yuba Counties--Yuba City PUMA,8.121742782278806,24.94264805169753,754.0414094650206,0.7540414094650206,0.7540414094650206
0604101,604101,G06004101,0604101,06,California,Marin County (North & West)--Novato & San Rafael (North) Cities PUMA,9.625144675925926,16.81887478298611,915.4393253504672,0.9154393253504672,0.9154393253504672
0604102,604102,G06004102,0604102,06,California,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA",9.982530676800272,17.94127356487772,896.4747792119565,0.8964747792119565,0.8964747792119565
0605700,605700,G06005700,0605700,06,California,Nevada & Sierra Counties PUMA,2.7031421388117836,20.247101092406876,1315.9748388252149,1.3159748388252148,1.3159748388252148
0605500,605500,G06005500,0605500,06,California,Napa County--Napa City PUMA,8.769562163910308,22.605855570211038,858.4278612012987,0.8584278612012987,0.8584278612012987
