,MIGPUMA,JAN_AVG_TEMP_C,JULY_AVG_TEMP_C,AVG_TOT_PPT_M
0,0100190,4.978591786847302,26.33608747187016,1.5239595850845908
1,0100290,4.601203332035364,26.006341962741303,1.4514902574722028
2,0100400,4.030482806581439,25.14456972064394,1.472489015151515
3,0100600,4.942543189395921,26.13291260787134,1.494768959205021
4,0100700,4.992191691255365,26.00611294594957,1.5387065450643778
5,0100800,5.670321743184156,26.34062339248971,1.469647762345679
6,0100900,5.217058128285631,26.211617443049064,1.4341144859813084
7,0101000,5.7892241794651325,26.02884472841556,1.416156072106262
8,0101100,5.714682334710743,26.143560740573346,1.4050240185950413
9,0101200,6.900454527579698,27.001702430264263,1.4421174496644293
10,0101300,6.684600076422242,27.012045428728324,1.4746241906961084
11,0101590,6.947487502874005,27.386763520872776,1.410807755559196
12,0101700,7.48335509568118,27.332110252808988,1.4324912921348314
13,0101800,6.988095238095238,26.703634418966452,1.4046968344155843
14,0101900,7.483128865559895,26.9250244140625,1.3671697916666667
15,0102090,8.205183238452165,27.5811000904193,1.3692532691758907
16,0102200,8.602167338709677,27.23510224654378,1.5380006912442394
17,0102300,8.971104071392276,27.335161410696138,1.4912924288617888
18,0102400,8.2608178490991,27.176947846283785,1.3717695945945945
19,0102500,9.490663703658136,27.51150344488189,1.4344990157480315
20,0102600,10.020496226165255,27.57563559322034,1.6883770127118647
21,0102700,9.951539023641411,27.667893130492768,1.7010278581755887
22,0400100,12.459211214391754,33.52706744250443,0.22235726943720965
23,0400200,10.592434904148753,29.838480364253623,0.3298605618463531
24,0400300,0.3025943992990498,22.961883890333436,0.29206783420006116
25,0400400,1.5969081417143711,23.735010466507177,0.3453535757006152
26,0400500,6.159418301131928,26.22512319476971,0.3911785226385636
27,0400600,7.851559057763482,30.016005022911525,0.22568761015156855
28,0400700,12.349680747897331,33.64802059164733,0.11423229952146172
29,0400800,9.870009353761535,30.331892514997744,0.3171712351999282
30,0400900,7.438832450141674,25.75277558304272,0.37879683413251963
31,0500100,2.110309022845644,25.952846827651516,1.2067072916666666
32,0500200,2.402734734030331,25.870852481617646,1.2656301470588234
33,0500300,2.28976188378534,25.721539469504446,1.2405187420584498
34,0500400,2.7626581101190477,26.414269770408165,1.2929328231292518
35,0500590,3.043907295334294,27.06625634566046,1.2921899302044846
36,0500700,4.408173155641841,27.43152951908683,1.3212174401197605
37,0500800,4.077021484375,27.45672265625,1.2958885
38,0500900,4.774649156617887,27.639255442187906,1.326792474320882
39,0501100,4.497058600957104,27.495221690498155,1.3085401291512915
